lad_code,lad_name,imd_avg_score,imd_avg_rank,imd_pct_most_deprived,imd_extent,health_avg_score,health_pct_most_deprived
E08000037,Gateshead,28.128,20798.24,0.1905,0.3471,0.737,0.3095
E09000001,City of London,10.21,8781.75,0.0,0.0,-0.529,0.0
E09000002,Barking and Dagenham,30.266,25038.67,0.0174,0.319,0.265,0.0087
E09000003,Barnet,19.499,17134.88,0.0045,0.0913,-0.79,0.0
E09000004,Bexley,15.302,12983.4,0.0,0.0744,-0.327,0.0068
E09000005,Brent,30.046,23737.65,0.1547,0.3226,-0.281,0.0055
E09000006,Bromley,12.673,10479.35,0.005,0.0624,-0.773,0.0
E09000007,Camden,23.695,19647.6,0.0308,0.2255,0.047,0.0308
E09000008,Croydon,22.562,18551.98,0.0349,0.2033,-0.149,0.0087
E09000009,Ealing,25.947,21688.64,0.0302,0.2469,-0.298,0.0
E09000010,Enfield,29.888,22538.62,0.1803,0.4205,-0.279,0.0
E09000011,Greenwich,23.539,20217.62,0.0,0.1797,0.124,0.0122
E09000012,Hackney,31.795,24813.48,0.1611,0.4,0.602,0.0805
E09000013,Hammersmith and Fulham,21.202,18491.87,0.0174,0.1385,0.0,0.0261
E09000014,Haringey,30.856,23134.61,0.1905,0.4372,-0.118,0.0068
E09000015,Harrow,17.527,15791.19,0.0,0.0436,-0.79,0.0
E09000016,Havering,16.755,14471.72,0.0065,0.0742,-0.401,0.0
E09000017,Hillingdon,20.653,17826.91,0.0,0.1201,-0.317,0.0
E09000018,Hounslow,24.859,21445.12,0.02,0.1746,-0.438,0.0
E09000019,Islington,26.651,22487.79,0.0397,0.2267,0.369,0.0317
E09000020,Kensington and Chelsea,20.339,17076.3,0.0297,0.1613,-0.743,0.0099
E09000021,Kingston upon Thames,11.063,9596.44,0.0,0.0096,-0.795,0.0
E09000022,Lambeth,23.041,20360.2,0.0055,0.1216,0.047,0.011
E09000023,Lewisham,25.472,21676.6,0.0171,0.1981,0.193,0.0114
E09000024,Merton,14.384,12518.56,0.0,0.0404,-0.78,0.0
E09000025,Newham,31.583,25157.21,0.0541,0.4251,0.081,0.0216
E09000026,Redbridge,19.854,17221.45,0.0183,0.1071,-0.53,0.0
E09000027,Richmond upon Thames,9.532,7866.61,0.0,0.0094,-1.382,0.0
E09000028,Southwark,23.328,20380.68,0.0,0.1379,0.127,0.0173
E09000029,Sutton,13.85,11826.33,0.0081,0.0489,-0.571,0.0
E09000030,Tower Hamlets,30.554,23847.49,0.1302,0.4148,0.364,0.0296
E09000031,Waltham Forest,23.453,20500.1,0.0068,0.1322,-0.124,0.0
E09000032,Wandsworth,15.157,13272.79,0.0,0.0545,-0.559,0.0
E09000033,Westminster,23.931,19406.31,0.0894,0.2328,-0.31,0.0081
